iter	RMSE
172	0.95431424
173	0.9488523774
174	0.9443840736
175	0.9408462823
176	0.9366394597
177	0.9325843374
178	0.9262466295
179	0.9240956665
180	0.9216591673
181	0.9195290423
182	0.9174178945
183	0.9146028459
184	0.9095193591
185	0.9036408959
186	0.9016093218
187	0.8996868471
188	0.8976144637
189	0.8894976235
190	0.8818615045
191	0.8800096651
192	0.8781719488
193	0.8713345705
194	0.8694766414
195	0.8677343305
196	0.8611328489
197	0.8578958789
198	0.8561656654
199	0.8507164843
200	0.8466127829
201	0.840318348
202	0.8329657363
203	0.8313427541
204	0.8246780407
205	0.8179911794
206	0.8164425743
207	0.8145759307
208	0.8082731573
209	0.8065887239
210	0.8032482294
211	0.7981547159
212	0.796658112
213	0.7901080424
214	0.7875080721
215	0.7860516919
216	0.7845160389
217	0.7802245974
218	0.7788459086
219	0.772226315
220	0.7700285378
221	0.7625394804
222	0.7564562498
223	0.7551274756
224	0.753753356
225	0.7503813177
226	0.7491358246
227	0.7457098766
228	0.7386615868
229	0.7352158114
230	0.733413612
231	0.7321127318
232	0.7268292456
233	0.7256049645
234	0.7243149418
235	0.7231863045
236	0.717977594
237	0.7169216195
238	0.7155248278
239	0.7144584677
240	0.7117968896
241	0.7107409004
242	0.704632852
243	0.6998211558
244	0.6957104024
245	0.6900378882
246	0.684682656
247	0.6832447224
248	0.6820951145
249	0.6776563064
250	0.6766967785
251	0.6753983289
252	0.6728273785
253	0.6718834685
254	0.6696058057
255	0.6651340407
256	0.6615280485
257	0.6563039859
258	0.6553849562
259	0.6543416628
260	0.6523300846
261	0.6490280289
262	0.647914653
263	0.6461223136
264	0.6420623651
265	0.6372984264
266	0.6327086213
267	0.6319263526
268	0.6305691023
269	0.6258586676
270	0.6249936493
271	0.6242171386
272	0.6202345494
273	0.6194682759
274	0.6155430771
275	0.6119726177
276	0.6079741512
277	0.6070339476
278	0.6060576704
279	0.6026000129
280	0.5994645053
281	0.5964893244
282	0.59567556
283	0.5935722265
284	0.5928791778
285	0.5899361154
286	0.5886675578
287	0.5855735878
288	0.584726626
289	0.582453336
290	0.5788423834
291	0.5780458214
292	0.5760382141
293	0.5753996213
294	0.5748143838
295	0.5715412479
296	0.5687538193
297	0.5671374778
298	0.5654267296
299	0.5648378813
300	0.5626124648
301	0.5610212899
302	0.5578686294
303	0.5573255851
304	0.5550868883
305	0.553028062
306	0.5499363866
307	0.5487706324
308	0.5482665288
309	0.5477707316
310	0.5459128888
311	0.5454305373
312	0.5434970037
313	0.541108832
314	0.5403494373
315	0.5386056372
316	0.537866507
317	0.5357497401
318	0.5332705786
319	0.5326181927
320	0.5321894455
321	0.5299451514
322	0.5279686403
323	0.5259376566
324	0.525511592
325	0.5251225412
326	0.5233226558
327	0.5225751903
328	0.5221760522
329	0.5201876205
330	0.5194616647
331	0.5190764276
332	0.5185224925
333	0.516819782
334	0.5163283768
335	0.5159927263
336	0.5143519697
337	0.5127294396
338	0.5124064347
339	0.5111345922
340	0.5094872548
341	0.5088355635
342	0.5070173417
343	0.5048580617
344	0.503714739
345	0.5031009896
346	0.502619243
347	0.5006421648
348	0.5003363424
349	0.4988357459
350	0.4982802369
351	0.4963120698
352	0.4940819165
353	0.4928355738
354	0.4903628381
355	0.4884269635
356	0.4880130298
357	0.4868443883
358	0.4850305477
359	0.4836724628
360	0.4817148446
361	0.4800067667
362	0.4794405544
363	0.4782494951
364	0.4770271343
365	0.4768041798
366	0.4764414935
367	0.4752843327
368	0.4732669826
369	0.4722909378
370	0.4720800405
371	0.4701435906
372	0.4695414749
373	0.4692130271
374	0.4681371713
375	0.4670184189
376	0.4668242908
377	0.465712772
378	0.465180096
379	0.4641233192
380	0.4633282379
381	0.4631455622
382	0.4615796476
383	0.4601377343
384	0.4585937611
385	0.4566525689
386	0.4558277366
387	0.4553550911
388	0.4549695166
389	0.4540577444
390	0.4534677356
391	0.4533161105
392	0.4527021501
393	0.4517505162
394	0.4516051546
395	0.4498298388
396	0.4492956154
397	0.4484426839
398	0.4481006404
399	0.4470253119
400	0.4466967084
401	0.4459370723
402	0.4439119081
403	0.4437056305
404	0.4433199889
405	0.4417901559
406	0.4415028958
407	0.4398813424
408	0.4386965818
409	0.4380665213
410	0.4365108196
411	0.4363936705
412	0.4361142514
413	0.4342160179
414	0.4335763981
415	0.4317554526
416	0.4314170369
417	0.4300783079
418	0.4289372544
419	0.4283924668
420	0.4269937516
421	0.4256261459
422	0.4255125122
423	0.4253056106
424	0.4248743866
425	0.424778765
426	0.4234211833
427	0.4217408003
428	0.4204920089
429	0.419898623
430	0.4186276826
431	0.417278321
432	0.4170764267
433	0.4168492084
434	0.4159307268
435	0.4158453128
436	0.4151049922
437	0.4145239857
438	0.4144421637
439	0.4131948662
440	0.412390036
441	0.412169961
442	0.4108554079
443	0.4104620417
444	0.4099428451
445	0.4098319071
446	0.4088719413
447	0.4082933586
448	0.4080368664
449	0.4071105801
450	0.4059729711
451	0.4044706833
452	0.4030269704
453	0.4027802239
454	0.4014644197
455	0.4007883251
456	0.4002887471
457	0.3999305925
458	0.3991101894
459	0.3978395864
460	0.3969917668
461	0.396686299
462	0.395585486
463	0.3946813911
464	0.3936181679
465	0.3925188163
466	0.3917232278
467	0.3906484347
468	0.3898955469
469	0.3891351798
470	0.387868114
471	0.3866505866
472	0.3856098194
473	0.384848155
474	0.3841144597
475	0.3838989
476	0.3828971088
477	0.3818906676
478	0.3809305676
479	0.3798220378
480	0.379120981
481	0.3784476959
482	0.3771714189
483	0.3756155311
484	0.3748883514
485	0.3738340676
486	0.3733372824
487	0.3728987973
488	0.3728491443
489	0.3719607488
490	0.3705514682
491	0.369582938
492	0.3693780041
493	0.3691012894
494	0.3683482386
495	0.366975515
496	0.3661951921
497	0.365505213
498	0.3640909068
499	0.3636780988
500	0.3631731216
501	0.3623353898
502	0.3614406133
503	0.3608054373
504	0.3598235387
505	0.3596881501
506	0.3592399813
507	0.3591456014
508	0.3578812395
509	0.3576288143
510	0.3566030748
511	0.356421875
512	0.3556120735
513	0.3551340097
514	0.3545494273
515	0.3543782216
516	0.3539788981
517	0.3526292512
518	0.3520799245
519	0.3513325603
520	0.3501206823
521	0.349673749
522	0.3486459982
523	0.3478429266
524	0.3471049865
525	0.3459087454
526	0.344795649
527	0.3442312707
528	0.3434693259
529	0.3426103483
530	0.3417038195
531	0.34154117
532	0.3412839571
533	0.3405889438
534	0.3393185909
535	0.3385936732
536	0.3377362999
537	0.3373659996
538	0.3370774447
539	0.3365116151
540	0.3356209357
541	0.3347456986
542	0.3342619578
543	0.3335198665
544	0.332786244
545	0.3327509499
546	0.3321044191
547	0.3311890072
548	0.3304156441
549	0.3295122479
550	0.3288821055
551	0.3279932599
552	0.3278759095
553	0.3269373286
554	0.3268733596
555	0.3268353239
556	0.3260052338
557	0.3254749267
558	0.3251032151
559	0.3239005548
560	0.3229319087
561	0.3225815255
562	0.3218839772
563	0.3212247424
564	0.3202611065
565	0.3196369798
566	0.3196043831
567	0.3193789516
568	0.3185758686
569	0.3181112282
570	0.3173636849
571	0.3173292979
572	0.3167467371
573	0.3167169051
574	0.3158936774
575	0.3153449846
576	0.3143573622
577	0.3136544367
578	0.3127872788
579	0.3123056142
580	0.3114522112
581	0.3106567795
582	0.3099519534
583	0.3095545958
584	0.3091707687
585	0.3086911015
586	0.308113366
587	0.3072905002
588	0.3070110861
589	0.3064522196
590	0.3058548893
591	0.305485548
592	0.3051280397
593	0.3048655646
594	0.3040821014
595	0.3035114845
596	0.3029295902
597	0.3028981835
598	0.3023400592
599	0.3013842771
600	0.3009012298
601	0.3006150288
602	0.3003088499
603	0.300105821
604	0.2998664672
605	0.2994520035
606	0.29901878
607	0.2985154428
608	0.2979827758
609	0.2975280376
610	0.2969645083
611	0.2967278415
612	0.2967006078
613	0.2958437669
614	0.2952801102
615	0.2949089101
616	0.2941547566
617	0.2935413347
618	0.2929724351
619	0.2924716789
620	0.2918697874
621	0.291088793
622	0.2906297768
623	0.2901845045
624	0.2895934273
625	0.2891553247
626	0.2886090123
627	0.2878034548
628	0.2873415069
629	0.286990528
630	0.2863410609
631	0.2855377378
632	0.2847356571
633	0.2844722727
634	0.2838079371
635	0.2832513432
636	0.2825843121
637	0.2823892907
638	0.2817440269
639	0.28112263
640	0.2804993321
641	0.2800453964
642	0.2796356736
643	0.2790060943
644	0.278684767
645	0.2781392081
646	0.2775891496
647	0.2772117836
648	0.2767565243
649	0.2761283491
650	0.2752238857
651	0.2750389365
652	0.2744807705
653	0.2739293688
654	0.2732466445
655	0.2730082279
656	0.2723575348
657	0.271973974
658	0.2713571521
659	0.2709235711
660	0.2707577392
661	0.2701197265
662	0.2698323806
663	0.2693208458
664	0.2689692655
665	0.2684359826
666	0.2676979685
667	0.2675033322
668	0.267311437
669	0.2669057422
670	0.2666783758
671	0.2661317374
672	0.2658193431
673	0.2654013999
674	0.2650243991
675	0.2643033898
676	0.2640473464
677	0.2634078145
678	0.2628215841
679	0.2624202947
680	0.2620102904
681	0.2617235131
682	0.2613423704
683	0.2610147902
684	0.260524472
685	0.2603526038
686	0.2598970988
687	0.2594468505
688	0.2590077165
689	0.2584777378
690	0.2584540742
691	0.2581241121
692	0.2577814505
693	0.2573859096
694	0.2571146736
695	0.256553335
696	0.2562175999
697	0.2556092135
698	0.2550245203
699	0.254374648
700	0.2538960055
701	0.2533592508
702	0.2529938735
703	0.2525032641
704	0.2521564604
705	0.2518332158
706	0.2515179597
707	0.2510260198
708	0.2507308798
709	0.2503700405
710	0.2501922287
711	0.2497701904
712	0.2495444009
713	0.2493726111
714	0.2487525108
715	0.2485616572
716	0.2480658306
717	0.2478943979
718	0.2475372861
719	0.2468927624
720	0.246333727
721	0.2459614951
722	0.2453550408
723	0.244976326
724	0.2445137521
725	0.244310172
726	0.2438113361
727	0.2435730612
728	0.2430831789
729	0.2429390638
730	0.2428402908
731	0.2426867066
732	0.2424736009
733	0.2422466575
734	0.2420509433
735	0.2414918913
736	0.240933324
737	0.2407763708
738	0.2404616345
739	0.2403533452
740	0.239756345
741	0.2393721332
742	0.2389984389
743	0.2384423814
744	0.2381888713
745	0.2377610206
746	0.2376137654
747	0.2371845472
748	0.2367206886
749	0.2364666702
750	0.2362792722
751	0.2358051782
752	0.235528707
753	0.2350512896
754	0.2348528774
755	0.2344416592
756	0.2342018267
757	0.2339116779
758	0.2337030153
759	0.2334153917
760	0.2328600899
761	0.2323347896
762	0.2318703944
763	0.2315961156
764	0.2312836394
765	0.2311924844
766	0.2308810714
767	0.2305522301
768	0.2300451227
769	0.2299966015
770	0.2295825181
771	0.2294437125
772	0.2292462132
773	0.2288746825
774	0.2284085512
775	0.2281059754
776	0.2279220653
777	0.2276184108
778	0.2273363369
779	0.2270585123
780	0.2269628189
781	0.2265858163
782	0.226097532
783	0.2258310768
784	0.2255580013
785	0.2252368509
786	0.2249465556
787	0.224618594
788	0.2243355031
789	0.2241407218
790	0.2235164173
791	0.2232619926
792	0.2231914191
793	0.2229407926
794	0.2227364096
795	0.2223484235
796	0.2220457634
797	0.2218286606
798	0.2215681237
799	0.2211124138
800	0.2209396387
801	0.2207374005
802	0.2204637098
803	0.2201357335
804	0.2199314549
805	0.2195459333
806	0.2193789471
807	0.2189012047
808	0.2186384249
809	0.2184704412
810	0.2181601083
811	0.2178585456
812	0.2177459876
813	0.2173846463
814	0.2170286889
815	0.216555997
816	0.2160886677
817	0.216071039
818	0.2157310782
819	0.2157123847
820	0.2153305532
821	0.2150225412
822	0.2149288876
823	0.2145332593
824	0.2144185617
825	0.2142154996
826	0.214068402
827	0.2137983276
828	0.2137050148
829	0.2136886299
830	0.2134560884
831	0.2131903676
832	0.2129022903
833	0.2125502388
834	0.2122955517
835	0.2118699008
836	0.2114371977
837	0.2111533623
838	0.2108167031
839	0.2104648103
840	0.2102011073
841	0.2100522694
842	0.2097157939
843	0.2094261512
844	0.2094099563
845	0.2090524273
846	0.2086932931
847	0.208348776
848	0.2082176864
849	0.208035247
850	0.207709519
851	0.207619043
852	0.2074290725
853	0.2071750392
854	0.2067994084
855	0.2065442005
856	0.2062838333
857	0.2060338672
858	0.205809611
859	0.2056012468
860	0.2052896229
861	0.2049529579
862	0.2048245531
863	0.2047262504
864	0.2044859514
865	0.2043896628
866	0.2039805038
867	0.2034401366
868	0.2032068401
869	0.2028139123
870	0.2025536548
871	0.2022522394
872	0.2020720201
873	0.2018308326
874	0.2018153941
875	0.2017544968
876	0.2015394235
877	0.201343275
878	0.2010981633
879	0.2009716731
880	0.200657176
881	0.2006431932
882	0.2002845594
883	0.2002683078
884	0.2002347413
885	0.2001347352
886	0.1997765506
887	0.1994986065
888	0.1993440035
889	0.1991859628
890	0.1991751132
891	0.1989329386
892	0.1987859638
893	0.1983210027
894	0.1980706147
895	0.1978927361
896	0.1974623102
897	0.197226798
898	0.1970163849
899	0.1968086987
900	0.1963969565
901	0.1963839109
902	0.1961301053
903	0.195751375
904	0.195501244
905	0.1951918423
906	0.1949503231
907	0.194789394
908	0.1946950622
909	0.1946097791
910	0.1944898002
911	0.1942711989
912	0.1940338775
913	0.193731138
914	0.1934569493
915	0.1932374069
916	0.1930830908
917	0.1927184167
918	0.1926073893
919	0.1922257836
920	0.1918713558
921	0.1915746304
922	0.1912349184
923	0.1911419269
924	0.1909804739
925	0.1907534143
926	0.1906318571
927	0.1905128853
928	0.190375587
929	0.1901055872
930	0.1897526442
931	0.1895356483
932	0.1893289267
933	0.1891289389
934	0.1888408272
935	0.1887290343
936	0.1885322909
937	0.1882659794
938	0.187908615
939	0.1876569036
940	0.1872789421
941	0.1871375644
942	0.1869983441
943	0.1867838455
944	0.1866357068
945	0.1865694207
946	0.1862544522
947	0.1861365204
948	0.1859828069
949	0.1859064951
950	0.1857315081
951	0.1854706849
952	0.1852160871
953	0.1849018251
954	0.1846436891
955	0.1846322163
956	0.1844407675
957	0.1841126924
958	0.1838643726
959	0.1837104254
960	0.1834254201
961	0.1832654769
962	0.1830571873
963	0.1827212837
964	0.1824125474
965	0.182296687
966	0.182099396
967	0.1818532593
968	0.1815543669
969	0.1814213858
970	0.1812993733
971	0.1812188361
972	0.1809111797
973	0.1807888238
974	0.1806421843
975	0.1804919608
976	0.1801346734
977	0.1798747656
978	0.1796645545
979	0.1795444918
980	0.1793839867
981	0.17912094
982	0.1788952046
983	0.1786596775
984	0.1785429006
985	0.1784584276
986	0.1782275918
987	0.1780334387
988	0.177868399
989	0.1777269665
990	0.1775006673
991	0.1773522126
992	0.1771473853
993	0.1769643889
994	0.1767914962
995	0.1767740473
996	0.1766330308
997	0.1765113111
998	0.1762724396
999	0.176083093
